2023-03-24 03:56:26,575 INFO    StreamThr :738387 [internal.py:wandb_internal():87] W&B internal server running at pid: 738387, started at: 2023-03-24 03:56:26.574501
2023-03-24 03:56:26,576 DEBUG   HandlerThread:738387 [handler.py:handle_request():144] handle_request: status
2023-03-24 03:56:26,578 INFO    WriterThread:738387 [datastore.py:open_for_write():85] open: /home/popul/work_dir/Emotion-Recognition-in-Conversation/wandb/run-20230324_035626-q9p6g4vl/run-q9p6g4vl.wandb
2023-03-24 03:56:26,578 DEBUG   SenderThread:738387 [sender.py:send():336] send: header
2023-03-24 03:56:26,595 DEBUG   SenderThread:738387 [sender.py:send():336] send: run
2023-03-24 03:56:27,158 INFO    SenderThread:738387 [dir_watcher.py:__init__():219] watching files in: /home/popul/work_dir/Emotion-Recognition-in-Conversation/wandb/run-20230324_035626-q9p6g4vl/files
2023-03-24 03:56:27,158 INFO    SenderThread:738387 [sender.py:_start_run_threads():1078] run started: q9p6g4vl with start time 1679597786.573632
2023-03-24 03:56:27,158 DEBUG   SenderThread:738387 [sender.py:send_request():363] send_request: summary_record
2023-03-24 03:56:27,158 DEBUG   HandlerThread:738387 [handler.py:handle_request():144] handle_request: check_version
2023-03-24 03:56:27,159 INFO    SenderThread:738387 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2023-03-24 03:56:27,159 DEBUG   SenderThread:738387 [sender.py:send_request():363] send_request: check_version
2023-03-24 03:56:27,185 DEBUG   HandlerThread:738387 [handler.py:handle_request():144] handle_request: run_start
2023-03-24 03:56:27,192 DEBUG   HandlerThread:738387 [system_info.py:__init__():31] System info init
2023-03-24 03:56:27,192 DEBUG   HandlerThread:738387 [system_info.py:__init__():46] System info init done
2023-03-24 03:56:27,192 INFO    HandlerThread:738387 [system_monitor.py:start():183] Starting system monitor
2023-03-24 03:56:27,192 INFO    SystemMonitor:738387 [system_monitor.py:_start():147] Starting system asset monitoring threads
2023-03-24 03:56:27,192 INFO    HandlerThread:738387 [system_monitor.py:probe():204] Collecting system info
2023-03-24 03:56:27,193 INFO    SystemMonitor:738387 [interfaces.py:start():187] Started cpu monitoring
2023-03-24 03:56:27,193 INFO    SystemMonitor:738387 [interfaces.py:start():187] Started disk monitoring
2023-03-24 03:56:27,194 INFO    SystemMonitor:738387 [interfaces.py:start():187] Started gpu monitoring
2023-03-24 03:56:27,195 INFO    SystemMonitor:738387 [interfaces.py:start():187] Started memory monitoring
2023-03-24 03:56:27,195 INFO    SystemMonitor:738387 [interfaces.py:start():187] Started network monitoring
2023-03-24 03:56:27,242 DEBUG   HandlerThread:738387 [system_info.py:probe():195] Probing system
2023-03-24 03:56:27,248 DEBUG   HandlerThread:738387 [system_info.py:_probe_git():180] Probing git
2023-03-24 03:56:27,261 DEBUG   HandlerThread:738387 [system_info.py:_probe_git():188] Probing git done
2023-03-24 03:56:27,262 DEBUG   HandlerThread:738387 [system_info.py:probe():240] Probing system done
