2023-03-24 04:22:42,402 INFO    StreamThr :741422 [internal.py:wandb_internal():87] W&B internal server running at pid: 741422, started at: 2023-03-24 04:22:42.401750
2023-03-24 04:22:42,403 DEBUG   HandlerThread:741422 [handler.py:handle_request():144] handle_request: status
2023-03-24 04:22:42,405 INFO    WriterThread:741422 [datastore.py:open_for_write():85] open: /home/popul/work_dir/Emotion-Recognition-in-Conversation/wandb/run-20230324_042242-cfbdr1vk/run-cfbdr1vk.wandb
2023-03-24 04:22:42,406 DEBUG   SenderThread:741422 [sender.py:send():336] send: header
2023-03-24 04:22:42,426 DEBUG   SenderThread:741422 [sender.py:send():336] send: run
2023-03-24 04:22:42,939 DEBUG   HandlerThread:741422 [handler.py:handle_request():144] handle_request: check_version
2023-03-24 04:22:42,939 INFO    SenderThread:741422 [dir_watcher.py:__init__():219] watching files in: /home/popul/work_dir/Emotion-Recognition-in-Conversation/wandb/run-20230324_042242-cfbdr1vk/files
2023-03-24 04:22:42,939 INFO    SenderThread:741422 [sender.py:_start_run_threads():1078] run started: cfbdr1vk with start time 1679599362.400866
2023-03-24 04:22:42,939 DEBUG   SenderThread:741422 [sender.py:send_request():363] send_request: summary_record
2023-03-24 04:22:42,939 INFO    SenderThread:741422 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2023-03-24 04:22:42,940 DEBUG   SenderThread:741422 [sender.py:send_request():363] send_request: check_version
2023-03-24 04:22:42,964 DEBUG   HandlerThread:741422 [handler.py:handle_request():144] handle_request: run_start
2023-03-24 04:22:42,969 DEBUG   HandlerThread:741422 [system_info.py:__init__():31] System info init
2023-03-24 04:22:42,969 DEBUG   HandlerThread:741422 [system_info.py:__init__():46] System info init done
2023-03-24 04:22:42,969 INFO    HandlerThread:741422 [system_monitor.py:start():183] Starting system monitor
2023-03-24 04:22:42,969 INFO    SystemMonitor:741422 [system_monitor.py:_start():147] Starting system asset monitoring threads
2023-03-24 04:22:42,969 INFO    HandlerThread:741422 [system_monitor.py:probe():204] Collecting system info
2023-03-24 04:22:42,970 INFO    SystemMonitor:741422 [interfaces.py:start():187] Started cpu monitoring
2023-03-24 04:22:42,970 INFO    SystemMonitor:741422 [interfaces.py:start():187] Started disk monitoring
2023-03-24 04:22:42,971 INFO    SystemMonitor:741422 [interfaces.py:start():187] Started gpu monitoring
2023-03-24 04:22:42,972 INFO    SystemMonitor:741422 [interfaces.py:start():187] Started memory monitoring
2023-03-24 04:22:42,973 INFO    SystemMonitor:741422 [interfaces.py:start():187] Started network monitoring
2023-03-24 04:22:43,022 DEBUG   HandlerThread:741422 [system_info.py:probe():195] Probing system
2023-03-24 04:22:43,030 DEBUG   HandlerThread:741422 [system_info.py:_probe_git():180] Probing git
2023-03-24 04:22:43,047 DEBUG   HandlerThread:741422 [system_info.py:_probe_git():188] Probing git done
2023-03-24 04:22:43,047 DEBUG   HandlerThread:741422 [system_info.py:probe():240] Probing system done
